ds,y,label
2021-06-22,2018113.0,now
2021-06-23,2033421.0,now
2021-06-24,2053995.0,now
2021-06-25,2072867.0,now
2021-06-26,2093962.0,now
2021-06-27,2115304.0,now
2021-06-28,2135998.0,now
2021-06-29,2156465.0,now
2021-06-30,2178272.0,now
2021-07-01,2203108.0,now
2021-07-02,2228938.0,now
2021-07-03,2256851.0,now
2021-07-04,2284084.0,now
2021-07-05,2313829.0,now
2021-07-06,2345018.0,now
2021-07-07,2379397.0,now
2021-07-08,2417788.0,now
2021-07-09,2455912.0,now
2021-07-10,2491006.0,now
2021-07-11,2527203.0,now
2021-07-12,2567630.0,now
2021-07-13,2615529.0,now
2021-07-14,2670046.0,now
2021-07-15,2726803.0,now
2021-07-16,2780803.0,now
2021-07-17,2832755.0,now
2021-07-18,2877476.0,now
2021-07-19,2911733.0,now
2021-07-20,2950058.0,now
2021-07-21,2983830.0,now
2021-07-22,3033339.0,now
2021-07-23,3082410.0,now
2021-07-24,3127826.0,now
2021-07-25,3166505.0,now
2021-07-26,3194733.0,now
2021-07-27,3239936.0,now
2021-07-28,3287727.0,now
2021-07-29,3331206.0,now
2021-07-30,3372374.0,now
2021-07-31,3409658.0,now
2021-08-01,3440396.0,now
2021-08-02,3462800.0,now
2021-08-03,3496700.0,now
2021-08-04,3532567.0,now
2021-08-05,3568331.0,now
2021-08-06,3607863.0,now
2021-08-07,3639616.0,now
2021-08-08,3666031.0,now
2021-08-09,3686740.0,now
2021-08-10,3718821.0,now
2021-08-11,3749446.0,now
2021-08-12,3774155.0,now
2021-08-13,3804943.0,now
2021-08-14,3833541.0,now
2021-08-15,3854354.0,now
2021-08-16,3871738.0,now
2021-08-17,3892479.0,now
2021-08-18,3908247.0,now
2021-08-19,3930300.0,now
2021-08-20,3950304.0,now
2021-08-21,3967048.0,now
2021-08-22,3979456.0,now
2021-08-23,3989060.0,now
2021-08-24,4008166.0,now
2021-08-25,4026837.0,now
2021-08-26,4043736.0,now
2021-08-27,4056354.0,now
2021-08-28,4066404.0,now
2021-08-29,4073831.0,now
2021-08-30,4079267.0,now
2021-08-31,4089801.0,now
2021-09-01,4100138.0,now
2021-09-02,4100138.0,now
2021-09-03,4116890.0,now
2021-09-04,4123617.0,now
2021-09-05,4129020.0,now
2021-09-06,4133433.0,now
2021-09-07,4140634.0,now
2021-09-08,4147365.0,now
2021-09-09,4153355.0,now
2021-09-10,4158731.0,now
2021-09-11,4163732.0,now
2021-09-12,4167511.0,now
2021-09-13,4170088.0,now
2021-09-14,4174216.0,now
2021-09-15,4178164.0,now
2021-09-16,4181309.0,now
2021-09-17,4185144.0,now
2021-09-18,4188529.0,now
2021-09-19,4190763.0,now
2021-09-20,4192695.0,now
2021-09-21,4195958.0,now
2021-09-22,4198678.0,now
2021-09-23,4201559.0,now
2021-09-24,4204116.0,now
2021-09-25,4206253.0,now
2021-09-26,4208013.0,now
2021-09-27,4209403.0,now
2021-09-28,4211460.0,now
2021-09-29,4213414.0,now
2021-09-30,4215104.0,now
2021-10-01,4216728.0,now
2021-10-02,4218142.0,now
2021-10-03,4219284.0,now
2021-10-04,4220206.0,now
2021-10-05,4221610.0,now
2021-10-06,4223094.0,now
2021-10-07,4224487.0,now
2021-10-08,4225871.0,now
2021-10-09,4227038.0,now
2021-10-10,4228455.136413597,future
2021-10-11,4229792.422560009,future
2021-10-12,4231129.708706187,future
2021-10-13,4232466.994852399,future
2021-10-14,4233804.280998577,future
2021-10-15,4235141.567144992,future
2021-10-16,4236478.853291169,future
2021-10-17,4237816.139437347,future
2021-10-18,4239153.42558376,future
2021-10-19,4240490.711729942,future
2021-10-20,4241827.9978761505,future
2021-10-21,4243165.284022328,future
2021-10-22,4244502.570168741,future
2021-10-23,4245839.85631492,future
2021-10-24,4247177.142461132,future
2021-10-25,4248514.42860751,future
2021-10-26,4249851.714753724,future
2021-10-27,4251189.000899902,future
2021-10-28,4252526.287046314,future
2021-10-29,4253863.573192492,future
2021-10-30,4255200.859338705,future
2021-10-31,4256538.145484882,future
2021-11-01,4257875.431631297,future
2021-11-02,4259212.717777474,future
2021-11-03,4260550.003923652,future
2021-11-04,4261887.290070065,future
2021-11-05,4263224.576216243,future
2021-11-06,4264561.862362456,future
2021-11-07,4265899.148508634,future
