ds,y
2021-09-20,4192695
2021-09-21,4195958
2021-09-22,4198678
2021-09-23,4201559
2021-09-24,4204116
2021-09-25,4206253
2021-09-26,4208013
2021-09-27,4209403
2021-09-28,4211460
2021-09-29,4213414
2021-09-30,4215104
2021-10-01,4216728
2021-10-02,4218142
2021-10-03,4219284
2021-10-04,4220206
2021-10-05,4221610
2021-10-06,4223094
2021-10-07,4224487
2021-10-08,4225871
2021-10-09,4227038
